Algorithm Results:

Edmonds-Karp Algorithm
Edge Flows:
104 145 224
49 187 156
0 40 950
184 158 517
67 169 253
0 47 248
104 199 927
112 179 12
124 199 656
0 84 376
175 111 851
33 175 650
177 199 845
44 88 106
0 10 887
0 68 779
0 88 479
75 149 953
103 105 466
33 50 96
111 110 655
14 156 206
82 175 431
0 56 972
52 154 254
87 192 328
119 124 614
69 128 502
37 103 471
193 199 971
134 199 83
30 76 532
166 118 351
175 199 977
117 199 994
88 189 585
52 58 676
58 103 584
118 160 492
0 4 957
121 199 171
86 18 204
160 189 228
37 53 128
180 199 980
94 161 631
97 147 357
190 105 233
189 199 964
191 118 48
8 150 153
170 199 928
62 100 614
44 51 222
0 16 997
94 132 360
0 50 919
129 183 181
123 137 20
160 162 137
67 154 105
156 199 206
0 37 793
21 116 99
141 175 692
131 199 465
52 103 332
102 199 928
0 80 910
193 167 322
105 199 907
68 159 479
42 92 211
0 78 985
39 166 94
44 190 408
194 47 596
11 130 731
112 199 673
153 62 113
190 37 192
87 170 556
0 85 433
45 149 134
0 2 940
99 198 180
191 199 953
0 82 969
145 199 942
51 127 196
0 97 976
49 68 556
3 59 326
40 163 835
133 199 987
0 13 774
65 70 438
100 162 647
135 67 432
139 186 15
0 64 805
143 159 115
0 36 992
195 199 944
97 133 157
5 136 215
196 199 868
0 6 790
162 199 918
71 142 247
67 60 128
81 122 581
93 54 959
0 90 667
64 1 189
140 199 107
115 199 852
56 103 716
58 193 825
23 63 231
7 155 491
176 199 180
0 33 927
0 73 999
39 97 96
50 180 814
22 121 171
49 165 326
29 47 89
0 59 933
0 9 634
0 89 73
0 52 926
0 51 958
70 146 212
145 107 136
198 199 180
57 70 97
13 133 724
0 26 910
166 199 989
147 199 357
74 166 569
27 75 588
13 148 562
0 48 521
19 48 557
40 143 115
41 135 631
167 199 835
100 199 946
107 197 703
87 166 68
31 149 776
76 36 16
0 75 901
139 199 55
0 86 928
187 199 945
113 199 939
29 153 895
74 69 375
0 99 965
0 65 981
0 69 951
183 199 906
66 181 557
28 81 287
171 199 370
0 39 190
31 75 3
0 43 251
70 71 395
0 20 554
79 52 60
0 12 241
51 164 813
18 112 96
54 117 419
48 1 142
82 190 897
0 87 655
80 91 553
51 106 177
184 199 962
0 45 980
61 195 559
58 72 223
6 192 274
59 13 135
108 29 57
120 199 993
16 34 585
91 176 180
173 199 788
90 157 616
169 140 107
0 14 903
42 132 52
69 161 292
47 37 432
197 199 703
62 193 468
185 199 934
11 69 345
53 50 308
54 190 910
47 69 819
150 199 916
5 93 453
0 21 910
59 171 370
0 93 506
146 199 212
0 54 952
95 112 589
0 30 680
107 199 990
0 95 962
19 12 387
103 199 941
195 60 269
77 41 276
0 38 822
21 85 157
136 199 930
142 199 977
37 127 337
36 53 19
0 19 88
108 199 992
122 199 581
158 199 994
142 173 704
0 74 651
116 199 389
92 99 96
101 199 972
4 167 240
194 79 70
95 18 373
91 164 811
149 194 804
0 3 330
149 199 919
49 144 290
118 199 399
0 58 144
69 133 978
24 135 794
1 75 59
182 199 892
91 182 892
0 7 932
48 13 377
0 91 820
23 192 557
70 141 732
2 113 504
80 194 809
5 177 158
102 139 55
148 199 562
9 103 184
54 105 68
16 114 412
132 162 134
59 163 754
63 117 69
106 199 104
130 199 731
0 72 955
82 144 3
5 12 305
31 64 350
10 91 510
70 24 51
73 74 293
142 124 42
17 157 90
3 191 4
63 153 365
153 180 172
6 70 516
0 28 287
0 79 308
31 87 297
92 75 115
109 199 321
85 152 590
75 52 276
144 199 986
73 77 42
164 142 667
170 90 758
69 172 541
157 199 854
36 136 989
90 142 809
0 11 566
17 183 878
0 94 991
10 11 510
89 66 73
185 184 208
86 188 471
43 189 151
43 65 219
129 199 941
68 19 856
0 34 179
73 84 584
194 199 947
129 123 20
183 8 153
0 67 978
58 129 189
119 199 203
133 178 553
181 199 557
132 173 84
150 102 3
72 177 687
0 22 171
175 120 231
64 129 925
64 170 41
32 77 818
78 131 942
0 24 756
163 199 982
0 60 647
136 166 943
149 105 140
67 145 854
0 100 979
0 17 968
7 178 616
192 199 904
21 108 654
0 53 453
12 10 133
53 195 654
160 199 468
161 199 923
55 49 938
38 67 449
66 115 852
0 5 983
133 118 492
55 2 112
66 4 240
96 8 410
35 8 352
170 9 340
79 9 184
79 10 867
183 10 124
59 11 172
46 11 63
183 12 314
133 13 110
195 15 25
34 16 412
183 17 1
78 18 53
46 20 107
85 21 520
135 24 6
56 26 55
84 26 36
42 29 665
47 29 173
76 30 302
81 31 426
149 31 214
75 31 7
43 32 238
175 33 96
53 36 88
153 38 339
70 42 521
92 42 351
88 44 566
55 45 263
69 47 173
37 47 202
61 48 394
71 51 223
195 53 234
101 54 438
144 49 41
82 56 185
103 58 237
163 59 24
13 59 172
185 62 150
129 62 123
87 62 359
153 63 501
71 64 772
80 67 47
169 67 361
71 70 51
175 72 317
73 72 147
77 73 652
149 75 41
90 78 467
98 78 181
91 10 110
91 80 327
144 82 390
87 86 247
192 87 322
170 87 158
105 91 106
93 91 922
194 95 950
135 99 550
105 102 373
105 103 127
145 104 638
113 106 98
183 117 568
153 122 581
158 131 51
162 132 84
31 9 89
194 147 111
60 67 66
54 154 357
189 160 468
101 169 361
105 54 718
192 102 55
120 175 413
50 33 41
185 176 180
8 183 611
136 192 213

Maximum Flow: 63875
Execution Time: 3.164159 seconds
